Date,close_Pulp,open_Pulp,high_Pulp,low_Pulp
2014-02-24,110.64,109.65,110.77,109.5
2014-02-25,109.51,110.64,110.64,109.42
2014-02-26,109.52,109.56,109.97,109.2
2014-02-27,108.96,109.41,109.45,108.65
2014-02-28,109.07,108.85,109.34,108.4
2014-03-01,109.07,108.85,109.34,108.4
2014-03-02,109.07,108.85,109.34,108.4
2014-03-03,111.2,109.44,112.39,109.26
2014-03-04,109.3,111.16,111.32,109.0
2014-03-05,107.76,109.17,109.36,107.55
2014-03-06,108.1,107.66,108.54,107.37
2014-03-07,109.0,108.3,109.09,107.82
2014-03-08,109.0,108.3,109.09,107.82
2014-03-09,109.0,108.3,109.09,107.82
2014-03-10,108.08,108.73,108.85,107.75
2014-03-11,108.55,107.88,108.7,107.83
2014-03-12,108.02,108.41,108.55,107.61
2014-03-13,107.39,108.26,108.51,106.98
2014-03-14,108.57,107.25,108.69,107.24
2014-03-15,108.57,107.25,108.69,107.24
2014-03-16,108.57,107.25,108.69,107.24
2014-03-17,106.24,108.55,108.6,106.16
2014-03-18,106.79,106.4,106.85,105.85
2014-03-19,105.85,106.6,106.87,105.71
2014-03-20,106.45,105.9,106.75,105.41
2014-03-21,106.92,106.22,107.77,106.01
2014-03-22,106.92,106.22,107.77,106.01
2014-03-23,106.92,106.22,107.77,106.01
2014-03-24,106.81,107.01,107.5,106.45
2014-03-25,106.99,106.59,107.48,106.44
2014-03-26,107.03,106.97,107.35,106.48
2014-03-27,107.83,107.0,107.99,106.77
2014-03-28,108.07,107.73,108.39,107.62
2014-03-29,108.07,107.73,108.39,107.62
2014-03-30,108.07,107.73,108.39,107.62
2014-03-31,107.76,108.0,108.33,107.05
2014-04-01,105.62,107.66,107.8,105.1
2014-04-02,104.79,105.32,105.85,103.95
2014-04-03,106.15,104.59,106.32,104.45
2014-04-04,106.72,106.17,107.04,106.1
2014-04-05,106.72,106.17,107.04,106.1
2014-04-06,106.72,106.17,107.04,106.1
2014-04-07,105.82,106.35,106.63,105.13
2014-04-08,107.67,105.97,107.85,105.78
2014-04-09,107.98,107.5,108.14,107.12
2014-04-10,107.46,107.9,107.92,107.26
2014-04-11,107.33,107.35,107.87,106.98
2014-04-12,107.33,107.35,107.87,106.98
2014-04-13,107.33,107.35,107.87,106.98
2014-04-14,109.07,107.42,109.12,107.26
2014-04-15,108.74,108.92,109.11,108.27
2014-04-16,109.6,109.43,110.36,109.0
2014-04-17,109.53,109.6,110.19,109.08
2014-04-18,109.53,109.6,110.19,109.08
2014-04-19,109.53,109.6,110.19,109.08
2014-04-20,109.53,109.6,110.19,109.08
2014-04-21,109.95,109.76,110.05,108.89
2014-04-22,109.27,109.94,109.99,108.53
2014-04-23,109.11,109.5,109.54,108.6
2014-04-24,110.33,109.22,110.65,109.07
2014-04-25,109.58,110.33,110.63,109.25
2014-04-26,109.58,110.33,110.63,109.25
2014-04-27,109.58,110.33,110.63,109.25
2014-04-28,108.12,109.5,110.2,107.86
2014-04-29,108.98,108.13,109.37,108.0
2014-04-30,108.07,108.8,108.8,107.55
2014-05-01,107.76,108.08,108.12,106.85
2014-05-02,108.59,107.72,108.99,107.6
2014-05-03,108.59,107.72,108.99,107.6
2014-05-04,108.59,107.72,108.99,107.6
2014-05-05,107.72,108.92,108.92,107.05
2014-05-06,107.06,107.53,108.21,106.97
2014-05-07,108.13,107.17,108.25,106.96
2014-05-08,108.04,108.07,108.15,107.38
2014-05-09,107.89,108.08,109.02,107.64
2014-05-10,107.89,108.08,109.02,107.64
2014-05-11,107.89,108.08,109.02,107.64
2014-05-12,108.41,107.94,108.77,107.94
2014-05-13,109.24,108.37,109.46,108.05
2014-05-14,110.19,109.39,110.41,109.32
2014-05-15,110.44,110.21,110.6,109.75
2014-05-16,109.75,108.96,110.05,108.88
2014-05-17,109.75,108.96,110.05,108.88
2014-05-18,109.75,108.96,110.05,108.88
