high_acao,low_acao,open_acao,volume_acao,close_acao,high_dolar,low_dolar,open_dolar,close_dolar,close_Pulp,open_Pulp,high_Pulp,low_Pulp,Value_selic,Value_ipca
5.035,4.842,4.876,20993900.0,5.011,2.348,2.325,2.341,2.341,110.64,109.65,110.77,109.5,10.43,0.69
5.07,4.876,4.994,35828100.0,4.901,2.342,2.32,2.333,2.336,109.51,110.64,110.64,109.42,10.43,0.69
4.925,4.728,4.908,45181500.0,4.735,2.35,2.321,2.339,2.339,109.52,109.56,109.97,109.2,10.43,0.69
4.873,4.717,4.776,23575900.0,4.852,2.348,2.33,2.348,2.348,108.96,109.41,109.45,108.65,10.43,0.69
4.89,4.693,4.873,28318200.0,4.697,2.341,2.314,2.314,2.319,109.07,108.85,109.34,108.4,10.43,0.69
4.745,4.59,4.735,15287200.0,4.593,2.339,2.322,2.336,2.338,107.76,109.17,109.36,107.55,10.65,0.92
4.742,4.6,4.638,29223600.0,4.641,2.319,2.297,2.315,2.317,108.1,107.66,108.54,107.37,10.65,0.92
4.707,4.565,4.641,33482800.0,4.603,2.343,2.305,2.318,2.32,109.0,108.3,109.09,107.82,10.65,0.92
4.621,4.458,4.586,39540700.0,4.496,2.349,2.309,2.309,2.336,108.08,108.73,108.85,107.75,10.65,0.92
4.552,4.479,4.514,37605100.0,4.531,2.354,2.328,2.343,2.343,108.55,107.88,108.7,107.83,10.65,0.92
4.652,4.52,4.531,42963100.0,4.603,2.371,2.354,2.359,2.359,108.02,108.41,108.55,107.61,10.65,0.92
4.659,4.503,4.628,22769800.0,4.503,2.358,2.336,2.352,2.352,107.39,108.26,108.51,106.98,10.65,0.92
4.534,4.413,4.52,34674800.0,4.417,2.373,2.354,2.361,2.361,108.57,107.25,108.69,107.24,10.65,0.92
4.479,4.337,4.451,39457400.0,4.344,2.352,2.329,2.341,2.341,106.24,108.55,108.6,106.16,10.65,0.92
4.51,4.344,4.368,45126500.0,4.482,2.356,2.34,2.344,2.346,106.79,106.4,106.85,105.85,10.65,0.92
4.676,4.469,4.476,51670900.0,4.61,2.341,2.326,2.327,2.329,105.85,106.6,106.87,105.71,10.65,0.92
4.852,4.548,4.572,58253000.0,4.835,2.354,2.325,2.344,2.345,106.45,105.9,106.75,105.41,10.65,0.92
4.89,4.648,4.648,49269400.0,4.845,2.329,2.308,2.323,2.323,106.92,106.22,107.77,106.01,10.65,0.92
4.987,4.793,4.897,34293400.0,4.984,2.331,2.309,2.32,2.32,106.81,107.01,107.5,106.45,10.65,0.92
5.046,4.883,4.928,40256700.0,5.004,2.327,2.298,2.321,2.319,106.99,106.59,107.48,106.44,10.65,0.92
5.077,4.959,5.028,29664700.0,4.977,2.316,2.287,2.309,2.309,107.03,106.97,107.35,106.48,10.65,0.92
5.384,4.949,4.973,77808100.0,5.381,2.304,2.259,2.293,2.293,107.83,107.0,107.99,106.77,10.65,0.92
5.45,5.253,5.381,42344400.0,5.412,2.266,2.245,2.254,2.256,108.07,107.73,108.39,107.62,10.65,0.92
5.457,5.357,5.429,28288900.0,5.454,2.272,2.245,2.256,2.256,107.76,108.0,108.33,107.05,10.65,0.92
5.478,5.35,5.433,36206100.0,5.464,2.273,2.249,2.249,2.269,105.62,107.66,107.8,105.1,10.87,0.67
5.737,5.426,5.429,66007000.0,5.378,2.273,2.243,2.258,2.258,104.79,105.32,105.85,103.95,10.87,0.67
5.779,5.583,5.735,56189100.0,5.687,2.286,2.253,2.267,2.265,106.15,104.59,106.32,104.45,10.87,0.67
5.801,5.668,5.768,33173500.0,5.702,2.278,2.234,2.259,2.276,106.72,106.17,107.04,106.1,10.87,0.67
6.078,5.798,5.798,50400200.0,6.078,2.245,2.215,2.234,2.231,105.82,106.35,106.63,105.13,10.87,0.67
6.304,5.805,6.204,69307600.0,5.905,2.217,2.19,2.214,2.214,107.67,105.97,107.85,105.78,10.87,0.67
5.886,5.694,5.875,41775400.0,5.853,2.214,2.184,2.197,2.199,107.98,107.5,108.14,107.12,10.87,0.67
5.927,5.742,5.783,27907900.0,5.79,2.203,2.169,2.181,2.181,107.46,107.9,107.92,107.26,10.87,0.67
5.982,5.691,5.735,42898300.0,5.979,2.216,2.188,2.202,2.204,107.33,107.35,107.87,106.98,10.87,0.67
6.041,5.846,6.012,26799700.0,5.883,2.219,2.196,2.214,2.214,109.07,107.42,109.12,107.26,10.87,0.67
5.942,5.587,5.82,35870400.0,5.657,2.234,2.196,2.201,2.212,108.74,108.92,109.11,108.27,10.87,0.67
5.827,5.628,5.757,28674000.0,5.827,2.236,2.219,2.232,2.234,109.6,109.43,110.36,109.0,10.87,0.67
6.13,5.739,5.871,44689200.0,6.049,2.247,2.222,2.222,2.238,109.53,109.6,110.19,109.08,10.87,0.67
6.156,5.849,6.023,44896500.0,5.894,2.247,2.218,2.228,2.228,109.27,109.94,109.99,108.53,10.87,0.67
5.934,5.816,5.897,22259300.0,5.923,2.245,2.221,2.237,2.237,109.11,109.5,109.54,108.6,10.87,0.67
6.03,5.86,5.982,30473600.0,5.956,2.226,2.207,2.216,2.218,110.33,109.22,110.65,109.07,10.87,0.67
5.931,5.779,5.89,31426800.0,5.919,2.237,2.194,2.207,2.209,109.58,110.33,110.63,109.25,10.87,0.67
6.119,5.823,5.89,31782200.0,6.115,2.243,2.225,2.239,2.239,108.12,109.5,110.2,107.86,10.87,0.67
6.315,6.097,6.16,42027100.0,6.163,2.227,2.201,2.22,2.22,108.98,108.13,109.37,108.0,10.87,0.67
6.182,6.052,6.13,27166100.0,6.115,2.255,2.218,2.231,2.233,108.07,108.8,108.8,107.55,10.87,0.67
6.547,6.097,6.112,52627500.0,6.536,2.239,2.212,2.212,2.231,108.59,107.72,108.99,107.6,10.9,0.46
6.562,6.392,6.518,35540000.0,6.488,2.233,2.202,2.215,2.215,107.72,108.92,108.92,107.05,10.9,0.46
6.824,6.392,6.436,48256400.0,6.736,2.242,2.223,2.24,2.242,107.06,107.53,108.21,106.97,10.9,0.46
6.961,6.673,6.699,44239500.0,6.861,2.231,2.208,2.227,2.227,108.13,107.17,108.25,106.96,10.9,0.46
6.942,6.555,6.869,53471600.0,6.603,2.215,2.199,2.212,2.214,108.04,108.07,108.15,107.38,10.9,0.46
6.736,6.499,6.665,34395600.0,6.525,2.222,2.198,2.214,2.213,107.89,108.08,109.02,107.64,10.9,0.46
6.684,6.562,6.628,20657400.0,6.658,2.218,2.195,2.207,2.207,108.41,107.94,108.77,107.94,10.9,0.46
6.795,6.595,6.647,27465400.0,6.632,2.218,2.195,2.195,2.21,109.24,108.37,109.46,108.05,10.9,0.46
6.773,6.592,6.632,23462900.0,6.754,2.216,2.196,2.198,2.212,110.19,109.39,110.41,109.32,10.9,0.46
6.732,6.621,6.71,20492100.0,6.658,2.224,2.184,2.197,2.2,110.44,110.21,110.6,109.75,10.9,0.46
6.784,6.614,6.647,26139800.0,6.651,2.22,2.2,2.215,2.216,109.75,108.96,110.05,108.88,10.9,0.46
6.662,6.58,6.64,25935900.0,6.625,2.215,2.197,2.21,2.21,109.37,109.82,110.33,109.3,10.9,0.46
6.787,6.315,6.61,54506300.0,6.388,2.217,2.188,2.203,2.203,109.69,109.33,110.0,109.1,10.9,0.46
6.58,6.315,6.448,40672100.0,6.448,2.213,2.199,2.211,2.213,110.55,109.76,110.73,109.7,10.9,0.46
6.562,6.403,6.466,32321300.0,6.529,2.217,2.19,2.205,2.205,110.36,110.49,111.04,110.17,10.9,0.46
6.584,6.481,6.492,18155800.0,6.536,2.22,2.197,2.211,2.211,110.54,110.38,110.7,110.25,10.9,0.46
6.614,6.54,6.573,7387500.0,6.595,2.221,2.204,2.219,2.219,110.32,110.4,110.55,109.75,10.9,0.46
6.658,6.429,6.621,23285500.0,6.459,2.24,2.206,2.221,2.221,110.02,110.35,110.8,109.71,10.9,0.46
6.569,6.374,6.481,22457200.0,6.536,2.244,2.219,2.235,2.233,109.81,110.22,110.4,109.41,10.9,0.46
6.573,6.385,6.555,19559700.0,6.388,2.232,2.215,2.228,2.228,109.97,109.89,110.46,109.72,10.9,0.46
6.37,6.137,6.344,25975000.0,6.163,2.242,2.208,2.221,2.224,109.41,110.02,110.13,109.22,10.9,0.46
6.23,6.049,6.204,26475500.0,6.112,2.271,2.223,2.237,2.237,108.83,109.7,109.87,108.62,10.9,0.4
6.263,6.082,6.104,20600300.0,6.241,2.274,2.254,2.272,2.274,108.82,108.8,108.98,108.32,10.9,0.4
6.252,6.1,6.222,20905900.0,6.13,2.287,2.261,2.277,2.277,108.4,108.89,109.5,108.07,10.9,0.4
6.215,6.016,6.171,23391100.0,6.027,2.283,2.259,2.264,2.275,108.79,108.13,108.96,107.77,10.9,0.4
6.529,6.318,6.418,55365700.0,6.529,2.259,2.236,2.258,2.256,108.61,108.85,109.31,108.46,10.9,0.4
6.736,6.418,6.488,47362400.0,6.673,2.247,2.222,2.243,2.243,109.99,108.68,110.16,108.55,10.9,0.4
6.894,6.577,6.662,35832900.0,6.894,2.247,2.211,2.224,2.226,109.52,109.95,110.32,109.1,10.9,0.4
7.001,6.758,6.905,48370800.0,6.972,2.233,2.204,2.22,2.219,109.95,109.61,110.25,109.44,10.9,0.4
7.042,6.872,6.88,28004000.0,7.013,2.238,2.21,2.21,2.227,113.41,113.75,114.69,112.75,10.9,0.4
7.064,6.883,7.016,30910300.0,6.92,2.231,2.205,2.22,2.22,112.94,112.73,113.28,112.33,10.9,0.4
6.898,6.721,6.887,18040600.0,6.765,2.255,2.216,2.232,2.23,113.45,112.97,113.8,112.16,10.9,0.4
7.027,6.739,6.798,43019700.0,7.016,2.259,2.244,2.257,2.259,114.26,113.46,114.54,113.05,10.9,0.4
7.013,6.861,6.887,22486300.0,6.905,2.239,2.204,2.207,2.22,114.81,114.92,115.11,114.43,10.9,0.4
6.924,6.758,6.924,14243200.0,6.758,2.234,2.211,2.227,2.227,114.12,114.99,115.66,113.86,10.9,0.4
6.976,6.459,6.754,53971000.0,6.514,2.222,2.2,2.215,2.213,114.46,113.9,114.83,113.55,10.9,0.4
6.562,6.326,6.352,48346300.0,6.385,2.222,2.196,2.202,2.222,114.0,114.31,114.65,113.23,10.9,0.4
6.488,6.281,6.451,23470100.0,6.396,2.21,2.189,2.203,2.205,113.21,114.24,114.29,113.0,10.9,0.4
6.422,6.315,6.37,16716300.0,6.352,2.206,2.178,2.192,2.194,113.3,113.07,113.71,112.9,10.9,0.4
6.481,6.292,6.411,20962900.0,6.385,2.204,2.172,2.173,2.192,112.36,113.3,113.3,112.16,10.9,0.4
6.444,6.248,6.407,22945200.0,6.348,2.217,2.196,2.21,2.212,112.29,112.5,112.83,111.85,10.9,0.01
6.4,6.267,6.348,28670600.0,6.322,2.217,2.185,2.2,2.198,111.24,112.19,112.42,110.92,10.9,0.01
6.473,6.222,6.241,26634700.0,6.47,2.24,2.207,2.22,2.222,111.0,111.0,111.17,110.53,10.9,0.01
6.481,6.407,6.436,9431900.0,6.462,2.214,2.192,2.205,2.207,110.64,111.05,111.29,110.56,10.9,0.01
6.44,6.329,6.429,18701200.0,6.396,2.22,2.191,2.191,2.21,110.24,110.65,110.92,109.88,10.9,0.01
6.433,6.34,6.411,11504900.0,6.4,2.225,2.206,2.22,2.223,108.94,110.0,110.16,108.69,10.9,0.01
6.71,6.507,6.566,35913600.0,6.688,2.224,2.194,2.209,2.207,108.67,108.15,108.88,107.76,10.9,0.01
6.765,6.573,6.673,20928900.0,6.736,2.224,2.203,2.218,2.219,106.66,108.58,108.74,106.27,10.9,0.01
7.083,6.802,6.824,70399100.0,7.053,2.22,2.202,2.203,2.217,106.98,106.42,107.5,106.21,10.9,0.01
7.153,6.953,7.053,43433200.0,7.112,2.223,2.191,2.205,2.207,106.02,106.81,106.9,104.39,10.9,0.01
7.16,7.046,7.145,27591400.0,7.131,2.221,2.198,2.198,2.216,105.85,105.9,106.58,105.72,10.9,0.01
7.356,7.061,7.09,57411200.0,7.223,2.245,2.201,2.201,2.221,107.89,107.13,108.6,106.8,10.9,0.01
7.707,7.441,7.685,90435000.0,7.578,2.256,2.227,2.255,2.255,107.24,108.5,108.62,106.94,10.9,0.01
7.762,7.482,7.544,44723800.0,7.733,2.228,2.207,2.222,2.222,107.68,107.15,107.87,106.79,10.9,0.01
7.84,7.592,7.718,62443400.0,7.773,2.221,2.203,2.207,2.218,107.33,107.8,108.4,106.83,10.9,0.01
7.659,7.448,7.592,42981200.0,7.478,2.22,2.195,2.21,2.208,108.03,106.87,108.25,106.87,10.9,0.01
7.548,7.367,7.518,37644700.0,7.5,2.22,2.201,2.216,2.216,107.07,108.15,108.21,106.83,10.9,0.01
7.596,7.489,7.537,25149900.0,7.566,2.229,2.2,2.202,2.215,108.39,107.2,108.46,106.73,10.9,0.01
